ID	Text	Count	Additional comments
validation-14	It's Always Fair Weather is a 1955 MGM musical satire scripted by Betty Comden and Adolph Green, who also wrote the show's lyrics, with music by Andr* Previn and starring Gene Kelly, Dan Dailey, Cyd Charisse, Dolores Gray, and dancer/choreographer Michael Kidd in his first film acting role.	8	
validation-15	Aviation historian Phil Scott in The Shoulders of Giants: A History of Human Flight to 1919 (1995, ISBN 0201627221) wrote that he does not consider Herring a candidate for the first flight claim. Scott says Herring's glider was difficult to steer and his two-cylinder, three-horsepower compressed air engine could operate for only 30 seconds at a time.	2	
validation-16	In spite of this, ``Sullivan took (Wright) under his wing and gave him great design responsibility.'' As an act of respect, Wright would later refer to Sullivan as Lieber Meister (German for ``Dear Master''). He also formed a bond with office foreman Paul Mueller. Wright would later engage Mueller to build several of his public and commercial buildings between 1903 and 1923.	3	
validation-17	Fripp has performed Soundscapes in several situations: * Fripp has featured Soundscapes on various King Crimson albums. He has also released pure Soundscape recordings as well: * On May 4, 2006, Steve Ball invited Robert Fripp back to the Microsoft campus for a second full day of work on Windows Vista following up on his first visit in the Fall of 2005.	2	
validation-18	In the event, the proletariat through the dictatorship of the proletariat would establish a communal State (per the 1871 Paris Commune model), then gradually suppress the dissenting bourgeoisie, in achieving the withering away of the State as its institutions begin to ``lose their political character''. Thus, following Marx's conclusions on the Paris commune, which Lenin took as his model Lenin declared that the task of the Revolution was to smash the State.	2	
validation-19	But that backfires when Andy decides to renege on the prices with Dwight's client, thus voiding both a major sale for the company and wrecks Dwight's sales record. Dwight later tells false stories to Andy when the manager is in need of being caught up on his branch, in hopes of sabotaging Andy.	2	
validation-20	Significant places listed individually on the National Register of Historic Places include: Boswell's Tavern, an important meeting place during the American Revolution and a well-preserved example of a Colonial-era tavern. Grassdale, an Italianate villa built in 1861 by the Morris family, later home of Rear Admiral David W. Taylor and his wife Imogene Morris Taylor.	2	
validation-21	Thoughtful and quietly religious, Byron is superior to Brown in every way but his shyness prevents him from revealing his feelings to Lena. The novel then switches to the second plot strand, the story of Lucas Burch/Joe Brown's partner Joe Christmas. The surly, psychopathic Christmas has been on the run for years, ever since presumably killing his strict Methodist adopted father.	6	Not clear if Joe Brown and Brown are the same people. Seems to be not the case.
validation-22	He also felt that Hicks could capture the ``gritty'' feel of the game. Hicks then sent some concept art to Dark Horse as a pitch for the job; they accepted, and she became officially involved with the project. Hicks was drawn to the project after reading about the character of Ellie in the game's script; she considered Ellie an unusual character to include in a survival horror game, calling her a ``tough teenage girl who wasn't sexualized, and who seemed very much the equal of her male counterpart''.	3	The first “He” doesn’t corefer to anything but is mentioned.
validation-23	Bonavia's paintings share with Vernet's a rococo palette of pale blues, creamy yellows, pinks and soft green, as well as an atmospheric, rather than analytical, approach to landscape. Like Vernet, Bonavia painted capricci in which real features of the Neapolitan countryside were placed in imaginary settings. Bonavia's idyllic landscapes were popular souvenirs of the Grand Tour. Among his patrons were Lord Brudenell and Graf Karl Joseph Firmian, the Austrian ambassador to Naples 1753-8.	4	
validation-24	Next up is Blond Baller vs Corn Fed; straight away Blond Baller does one little tiny bump up against Corn Fed and she straight away falls off and loses. Leaving the Gold team with a score of 4 to 1 leaving them as the winners and Brooklyn the Paymaster and making Marcia put in the box. Marcia: After the Power Outting, Marcia argues with Mindy and Chi Chi. During the argument, she talks about Chi Chi and his deceased father, which bothers Brooklyn.	6	Brooklyn disambiguation felt tricky. I could only figure it out at the very end.
validation-25	General Adkins served in the Maryland Military Department as chief of staff and assistant adjutant general for state operations. He also served as director of the Cemetery and Memorial Programs and as the deputy secretary of Veterans Affairs. In May 2007, Governor Martin O*Malley appointed General Adkins to his cabinet as the secretary of Veterans Affairs.	2	
validation-26	Ahmedabad was then reoccupied by the Muzaffarid dynasty until 1573 when Gujarat was conquered by the Mughal emperor Akbar. During the Mughal reign, Ahmedabad became one of the Empire's thriving centres of trade, mainly in textiles, which were exported as far as Europe. The Mughal ruler Shahjahan spent the prime of his life in the city, sponsoring the construction of the Moti Shahi Mahal in Shahibaug.	2	Lots of geographical entities
validation-27	Bahrain's citizenship law allows for the cabinet to revoke the citizenship of anyone who ``causes harm to the interests of the kingdom or behaves in a way inimical with the duty of loyalty to it''. The Supreme Leader of Iran, Ali Khamenei, said in a speech carried by state media, ``This is blatant foolishness and insanity. When he still could address the Bahraini people, Sheikh Isa Qassim would advise against radical and armed actions'' and ``Attacking Sheikh Isa Qassim means removing all obstacles blocking heroic Bahraini youths from attacking the regime''.	2	
validation-28	In 2000 he stepped down and focused on the Rostrum Group Ltd. Wade worked with Lord Hodgson in creating the investment management firm Rostrum Partnerships which invested in specialist Lloyd's underwriting companies on behalf of major UK pension funds on a five-year contract to 2005. Over the course of his career, Wade also served in several committees including the Council of Lloyd's -- then the regulator of the market -- and the Committee of Lloyd's.	2	Not sure about the first he
validation-29	During a rally of Haqqani, Carrie forces Quinn to abort his plan on killing him and discovers Dar Adal in Haqqani's car. Back in the U.S., Carrie reunites with her estranged mother. Quinn accepts a dangerous assassination mission in Syria. Later, Carrie confronts Dar Adal who reveals Saul as a supporter of a deal made with Haqqani, to take him off the CIA kill list, in exchange for Haqqani no longer harboring terrorists in Afghanistan.	5	
validation-30	In the Prius, unlike some other cars, holding down the accelerate button increases speed in 5 mph increments continuously; Voelcker suggested Wozniak was holding down the button for longer than necessary, setting the cruise to a high set speed, and thus resulting in the ``smooth'' acceleration to high speed he experienced.	2	
validation-31	Sir Thomas Coats Glen Glen-Coats, 2nd Baronet (May 5, 1878 -- March 7, 1954) was a British sailor who competed in the 1908 Summer Olympics. He was the son of Sir Thomas Glen-Coats, 1st Baronet, Member of Parliament for West Renfrewshire.	2	
validation-32	I try not to pick songs that I can't deliver, that I don't understand, that I've not been through. The one thing that I want people to say about my music is that it's real.'' Womack told Billboard, ``I wanted Mark Wright to produce me, because of that full, fat sound he gets.''	3	
validation-33	Labor's Bill Hegney gained the seat of Pilbara from two-term Nationalist MLA Frank Welsh, whilst the Nationalist member since 1914 for North Perth, James MacCallum Smith, was defeated by independent Nationalist Arthur Abbott (who joined the party some years later). Elsewhere, the only change was the exit of one Independent member--Clarence Doust in Nelson, who was defeated by his Nationalist predecessor John Henry Smith after one term--and the entry of another from Irwin-Moore, Claude Barker, replacing Country member Percy Ferguson.	8	
validation-34	Fellow Easy Company Currahee veterans interviewed while writing the book and mini-series had believed, in error, that Blithe was wounded in the neck, and that he did not recover. In the book, author Stephen Ambrose reported those errors as fact, and stated that Blithe had died in Philadelphia in 1948. Ambrose's errors were compounded in the mini-series, in which episode 3, ``Carentan'', episode ends with a slide stating that ``Albert Blithe never recovered from the wounds he received in Normandy.	2	
validation-35	Shalini knows that Arun is a good singer because he often sings at college functions. She tells her friend, Madhu, to start up a music company and encourages Arun to become a singer. She starts writing songs for Arun Kumar but prefers to remains anonymous. Arun buys these songs from an editor, Mr. Verma, who tells him that these songs are written by a girl called Seema.	5	
validation-36	He learned piano from age five and began playing jazz at 14. He studied at Loyola University Chicago and the University of Minnesota, followed by a stint playing in a military band in 1959-60. Novak led a trio ensemble at the London House in Chicago from 1961 to 1963 and then at Mr. Kelly's from 1963 to 1975. During this time, he released the album Larry Novak Plays!	2	Very tricky to cluster the first few pronouns but the context kind of makes you think that they refer to Larry Novak.
validation-37	Around 14th century, people from Ardalan tribe established themselves in Sinne (Sanandaj) as the rulers of this region. According to Sharafnama written by Sharaf al-Din Bitlisi, the earliest known leader of the tribe, Bawa Ardalan, was a descendant of Ahmad bin Marwan, who ruled in Diyarbak*r. He settled down among the Gorani people in Kurdistan and toward the end of the Mongol period took over the ``*are Zor'' (Sharazor) region, where he established himself as an absolute ruler.	3	Very tricky - has a book name, a organization, and regions as well.
validation-38	The Escapist editor John Funk stated that it was the perfect platform for the sequel, due to how the touch screen could be used effectively for the Celestial Brush. Kombo editor Daniel Sims praised *kamiden's cel-shaded visuals, stating that they work well on the Nintendo DS. Destructoid editor Hamza Aziz believed it was perfect for the Nintendo DS. Aziz added that he was impressed with Capcom managing to retain *kami's stylized appearance in the sequel.	3	Again quite tricky
validation-39	The ``Tibetans'' was published by Peter Kelder in 1939, and republished in 1975. The practice was re-introduced by Christopher S. Kilham in 1994, with his publication ``The Five Tibetans''. There is little historical or cultural evidence to support Kelder's booklet. Most scholars of Tibet and authentic lineage holders state his publications are works of fiction (in the same vein as Lobsang Rampa).	3	
validation-40	It is widely accepted as one of the most politically difficult portrait commissions in art history, requiring an understanding of the interplay of relationships with a depth ``worthy of Shakespeare'', in the opinion of art historians Rodolfo Pallucchini and Harold Wethey. However, it was one Titian seems to have resolved; while the complexity of the relationships is all on the canvas, it may have been intended as an indicator to Charles that Paul retained his position as the dominant patriarch -- old and frail but still a man of vitality, and in control of his squabbling descendants.	6	
validation-41	His rule was largely weak and ineffective, as much of government responsibilities in Brandenburg-Prussia was turned over to Schwarzenberg as the country suffered greatly during the war. Protestant and Catholic troops alike burned and plundered the Brandenburg region and the population was decimated there as it was throughout the German states. Whereas Ducal Prussia remained mostly untouched. With his brother-in-law Gustavus dead in 1632, George William maintained the Swedish alliance until after the Swedish defeat at the Battle of N*rdlingen on 6 September 1634.	2	Tricky one.. Not sure if the first pronoun refers to George William
validation-42	Local government indications As in the other two constituencies located in the London Borough of Wandsworth, voters have in part supported the Conservatives at the local level, however this southern area has strong Labour Party support to have consistently returned at least seven Labour councillors since 1992. Sadiq Khan, a solicitor by profession, was the Minister of State for Transport and Minister of State for Communities in the government of Gordon Brown. In opposition after 2010, he became the Shadow Secretary of State for Justice and Lord Chancellor.	2	
validation-43	Nicole gets away and makes her way home after weeks of being gone, and a search by friends,family and police. She arrives home and tells the truth to her father of why she ran away, which prompts Michael to have a meltdown with Layla and disown his brother Gabriel. In 2013, Nicole gives birth to a daughter called Grace. She struggles to be a young single mum and considers putting her up for adoption when she gets a place in a college in Aberdeen and plans to leave Shieldinch but when Grace develops meningitis Nicole realizes that she couldn't lose her and decides she will take Grace with her, she left in the back of a black cab to the train station.	5	Quite complex
validation-44	The first patient was subsequently treated at the Columbus Hospital in New York City. This was the first hospital that allowed the treatment of electroconvulsive therapy in the United States. In December 1940, Dr. Walter Freeman requested the presence of Impastato and Almansi along with the ECT machine in Washington DC. He wanted to them to demonstrate the treatment of ECT on one of his patients, a thirty-year-old man with schizoid depression.	3	
validation-45	By 1931, the estate was thickly settled. In 1925 title to Killarney and its remaining 62 perches (1578m2) passed to the Tate family, then in 1934 to Emily Firrell. Killarney passed to Mrs Firrell's daughter, Beryl Agnes Farry, in 1948, and it remains her property.	2	
validation-46	With regard to Estonia's domestic policies, he has supported re-affirming the president's role as a moral arbitrator in case of leading politicians' misdeeds. Ilves has severely criticised alleged political pressure exercised by the Centre Party and People's Union leaders over their parliamentary deputies and local politicians. Edgar Savisaar in turn has expressed dissatisfaction with Ilves' victory. On 29 August 2011, he was reelected by the 101-seat legislature to a second five-year term.	2	Low confidence
validation-47	The FBI are tipped about Lateesha's counterfeit driver's license racket. They threaten to send her to jail unless she gives them information about Frances, whom they have been surveilling. Lateesha throws them off the trail by stating that Frances, his brother and his two friends are going to commit the robbery, when in reality she and Claremont are doing it themselves.	3	
validation-48	Luigi Infantino (April 24, 1921, Racalmuto -- June 22, 1991, Rome) was an Italian operatic tenor, particularly associated with the lyric Italian and French repertories. Luigi Infantino studied at the Parma Conservatory with Italo Brancucci. He made his debut in 1943, at the Teatro Regio in Parma, as Rodolfo in La boh*me, which was also his debut role at the Teatro San Carlo in Naples, in 1945.	3	Counting Rodolfo separately
validation-49	Bisset was under strict instructions from Sir Percy Bates, who was also aboard the trials, that all that was required from the ship was two measured runs of no more than thirty knots and that she was not permitted to attempt to attain a higher speed record than Queen Mary. After her trials Queen Elizabeth finally entered Cunard White Star's two ship weekly service to New York. Despite similar specifications to her older sister Queen Mary, Elizabeth never held the Blue Riband, as Cunard White Star chairman Sir Percy Bates requested that the two ships not try to compete against one another.	4	Cunard White Star?? SHIPS HAVE GENDER!!
validation-50	Although he is best remembered as the jockey of the U.S. Racing Hall of Fame filly, Imp, Nash Turner rode Ildrim to victory in the 1905 Belmont Stakes and captured the first two runnings of the Saratoga Special. Nash Turner moved to race in France at the invitation of friend and Thoroughbred owner/trainer Eugene Leigh for whom he had won numerous races in the United States including the Belmont Stakes.	3	Ildrim is the horse?
validation-51	Young played Christine Massey, a widowed mother of seven children, some grown, and Philbrook, according to the story line, adapted to the idea of becoming a stepfather to so many. Actors playing the Massey children included twins Dack Rambo and Dirk Rambo, Beverly Washburn, and Sandy Descher. Philbrook's other appearances were as Jim Costain in the 1961 segment ``Triple C'' of NBC's anthology series The Barbara Stanwyck Show and as McWhorter in the 1962 episode ``Inger, My Love'' on Bonanza. He also guest starred twice in 1959 and 1963 on CBS's Perry Mason, starring Raymond Burr.	10	
validation-52	Only nine years later, in 1664, the Dutch were conquered by a fleet of English ships by Sir Robert Carr under the direction of James, the Duke of York. Fighting off a prior claim by Cecil Calvert, 2nd Baron Baltimore, Proprietor of Maryland, the Duke passed his somewhat dubious ownership on to William Penn in 1682.	4	
validation-53	At first, President marshal Josip Broz Tito tried to break the centuries-long link between Croatia and the Holy See by offering Archbishop Stepinac a Croatian national church but Stepinac refused, which eventually resulted in attacks on the bishops in the summer of 1952. Pope Pius XII, wishing to pay tribute to archbishop Stepinac for his faithfulness, elevated him to the College of Cardinals in 1953 which triggered a reaction from the Government.	3	
validation-54	He reached the semifinals in Rotterdam the next week. In May, he entered Casablanca as a qualifier due to his late entry to the tournament, even though his ranking was high enought to be seeded. Simon went on to win the tournament by defeating Julien Benneteau, 7--5, 6--2, in the final. After his third-round loss to countryman Richard Gasquet at Wimbledon, Simon left Europe for the United States to familiarize himself with the hard courts before the U.S. Open Series.	3	CATAPHORA
validation-55	Mike D'Angelo of The A.V. Club also praised Forster's performance and the tone of the film, saying ``If the film came across as jaded and cynical, it might well be hard to take. Instead, it seems weary and defeated, as if some people are simply born to fail.'' Conversely, Kristy Puchko of The Playlist criticized the film's humor and called it ``one note''. While she praised the performances of Daniela Sandiford, Cole, Weaver, Forster, and Healy, Puchko stated that Coster-Waldau's performance ``keeps us at a distance, unable to connect, empathize, or care''.	8	
validation-56	Tecmo Bowl is a central theme for two 2016 Kia Sorento commercials. Both commercials star the aforementioned Bo Jackson and play off the ridiculously advantageous characteristics he possesses in the game. One also features Brian Bosworth, who was famously run over by Jackson during a Monday Night Football game in 1987 as he attempted to score a touchdown.	2	WORLD KNOWLEDGE
validation-57	While no national champions were actually crowned until 1938 when the first national tournament was held, in 1936 Kansas was retroactively awarded a Helms Foundation National Championship. The title was again awarded to Kansas for the 1923 season. 1951 -- In the finals of the Big 7 Holiday Tournament, Kansas center Clyde Lovellette stomped on the stomach of Missouri star Win Wilfong. He was ejected from the game and reprimanded by coach Phog Allen.	3	WORLD KNOWLEDGE
validation-58	He sends Colin on an errand. Thus when Percy is brought into the courtroom, Colin is absent. The judge then recuses himself, as he has had social contact with the defendant, leaving Colin none the wiser. Out on bail, Percy bids farewell to Colin, telling him that he has come out of retirement for one more trip.	4	Not clear who is the first “He”
validation-59	His published his most significant collection of war poetry, Tier rang gewaltig mit Tier (``Beast strove mightily with beast'') in 1920, in a limited edition of 1,000 copies. This short work of around 80 pages contains 60 poems based on the sonnet form, on themes of night and death. In his 1985 book in German war poetry, Patrick Bridgwater, Emeritus Professor of German at the University of Durham, described Schnack's book as ``the best single collection produced by a German war poet in 1914-1918'', and one work, ``N*chtliche Landschaft'', as the ``best poem of the war written in German''.	2	Could be 3 as well.. Though online search suggests that Schnack wrote the book, so..
validation-60	The group also expanded into Mexicali with XHMOE-FM. The 1990s saw several notable leaders head up Radi*polis. The first, journalist Ricardo Rocha, had been tapped in 1995 to revive the radio station division but was seen to be using Radi*polis as a ``trampoline'' into the television industry. After he left for Grupo ACIR in 1998, Eugenio Bernal took his place.	2	
validation-61	Eventually, Jacob Shaw fled to Pennsylvania in the United States, where his son Sebastian was born. In his old age, Jacob contracted an incurable blood disease due the alteration of his genetic code. He died just when Sebastian had obtained a scholarship to study engineering. Prior to his death, Jacob gave his son a machine and told him to keep it with him.	2	BRILLIANT EXAMPLE!!
validation-62	The album closes with ``Pretty Birds'' which features American rapper Common, making it the second time the pair have worked together after Aiko previously featured on ``Black Majik'' from his 2014 album Nobody's Smiling. Described as a pop rap song, Erin Lowers of XXL called the song ``dynamic'' and compared it to Nina Simone's ``Blackbird''; lyrically ``Pretty Bird'' sees Aiko singing about the troubles she's faced to get here.	4	
validation-63	MacDonald managed Villa until 8 September 2010, when former Liverpool and Olympique Lyonnais manager G*rard Houllier was officially announced as O'Neill's successor. MacDonald had previously announced his intentions to apply for the position on a full-time basis, however the club opted to sign Houllier instead. MacDonald did however take charge of Villa's next two games, before Houllier officially took the reins on 22 September after fulfilling his duties with the France national team.	2	
validation-64	Brizlee Hill, prior to the tower's erection, is reputed to have been the site of a fire-beacon used to warn of the approach of enemies. The tower is circular in plan, and has four slight rectangular projecting buttresses. An interior newel staircase is lit through windows. The tower is in an elaborate Gothic revival style, the design being variously attributed to Robert Adam or his brother John (who were also employed on other works for the Duke including a remodelling of the interiors of Northumberland House and Syon House in London) and to the Duke himself.	3	
validation-65	Edith Thompson was born Edith Jessie Graydon on 25 December 1893, at 97 Norfolk Road in Dalston, London, the first of the five children of William Eustace Graydon (1867--1941), a clerk with the Imperial Tobacco Company, and his wife Ethel Jessie Liles (1872--1938), the daughter of a police constable. During her childhood Edith was a happy, talented girl who excelled at dancing and acting, and was academically bright, with natural ability in arithmetic.	3	Could be a brilliant example to check what happens with the name “Edith Jessie Graydon” - coref?
validation-66	While walking across the front lawn, Gasazi reveals that when he sees dogs digging up his flowers and chewing on his trees in the garden, he turns them into ducks. When one duck comes towards Alan, Gasazi tells him to take Fritz (who's now a duck) home and throws him out.	3	
validation-67	Like Gregory's Girl, it demonstrates Mr. Forsyth's uncanny ability for making an audience sense that something magical is going on, even if that something isn't easily explained. In Variety magazine, film critic Todd McCarthy wrote, ``After making the grade internationally with the sleeper hit, Gregory's Girl, Scottish writer-director Bill Forsyth has broken the sophomore sesh jinx the only way he could, by making an even better film ...	2	
validation-68	Spencer (Troian Bellisario) is eager to tell Aria (Lucy Hale) that Ezra (Ian Harding) is ``A'', but Hanna (Ashley Benson) and Emily (Shay Mitchell) are not sure when the best time is. After catching Spencer in his classroom in her pajamas, Ezra tells Aria about Spencer's addiction to amphetamines as well as a previous incident involving them.	10	Confusing!
validation-69	He was the professional on site for the construction of East India House, Leadenhall Street, London, to designs by the merchant and amateur architect Theodore Jacobsen, 1726-29. Among several buildings in and around Twickenham, John James designed St. Mary's Church after it collapsed in 1713 (with the exception of its surviving west tower). Slightly further afield, he was responsible for recasing the tower of St Alfege's Church in Greenwich, Kent (now London) after it became unsafe (the tower was the only remaining part of an older church, the rest having also collapsed and been replaced by a new church designed (c.1714) by Nicholas Hawksmoor).	3	Cataphora
validation-70	Austria made a quick impact for the new but veteran laden Shell squad and won the Rookie of the Year honors at season's end. His average of 3.9 points per game for the 1985 season marked the lowest average for a Rookie of the Year awardee up to that time. During his stint at Shell, Austria played backup point guard for Bernie Fabiosa, Al Solis, then Ronnie Magsanoc.	4	
validation-71	According to NFLTouchdown.com, Benoit started writing football books at the age of 14, and was dubbed by the Idaho Statesman as ``The NFL Kid''. Benoit's two cats, Mr. Fizzles and Othercat, have gained some notoriety as they have been mentioned by Peter King in several of his weekly articles.	4	
validation-72	She was born in Boulogne, France, the daughter of Eustace III, Count of Boulogne, and his wife Mary, daughter of King Malcolm III of Scotland and Saint Margaret of Scotland. Through her maternal grandmother, Matilda was descended from the pre-Conquest English kings.	5	
validation-73	Aparna continuously blames and criticizes Deborah, stating that it is just a matter of time before Deborah leaves Pranab. After twenty-three years Deborah and Pranab finally divorce. The story also recounts the unique mother-daughter relationship that develops between Aparna and Usha; after many struggles and squabbles, Aparna placates her daughter by relating her own experiences about a foolish decision that she would have made.	4	Since BERT is not trained on a lot of Indian names, it’s making some mistakes on matching the exact strings I feel.
validation-74	In Warriors Orochi 2, she believes that Cao Cao is the chosen one, but she has mixed feeling about both Cao Cao and Oda Nobunaga on whether they will slip into darkness or not. Although she assists Wei, she is constantly testing Cao Cao. After Orochi's second demise, Nu Wa believes that Orochi mixed the different worlds because he wanted it that way.	5	
validation-75	In 2005, he tracked down Jenn Sterger, a Florida State student who had gained notoriety after she was briefly shown on television during the Florida State-Miami football game and helped her write a first-person story about her experience for SI.com She would later become a regular contributor to the site until she left in 2008 to become a ``Gameday Host'' for the New York Jets. While Andrew Bynum was rehabbing his right knee, Markazi wrote a story about Bynum partying at the Playboy Mansion on March 29, 2009 while the Los Angeles Lakers played the Atlanta Hawks in a game they would lose 86-76.	4	No idea what the first pronoun refers to.
validation-76	On the June 10 episode of Raw, Kaitlyn's secret admirer was revealed to be Langston, although it turned out to be a mind game AJ planned to get inside Kaitlyn's head before their Divas Title match. On the May 27 episode of Raw, Chris Jericho hosted ``The Highlight Reel'' segment with Paul Heyman as his guest, where he inquired the latter about one of his clients, CM Punk's absence from the WWE since April and May, and much like in their feud early the previous year, disputed with Heyman on who between the two of them was the ``best in the world''.	6	
validation-77	Throughout his 15 years as Governor, Ritchie called the legislature into special session several times, including once in 1920 to vote on women's suffrage in Maryland, and again in 1933 to ratify the repeal of the Eighteenth Amendment in 1933. Ritchie tried, but failed to achieve nomination as President during the election of 1932, and declined an offer by Franklin D. Roosevelt to be his running mate.	2	
validation-78	Her goal to work with the fashion industry was achieved in the spring of 2009 as she started working seasonally for New York Fashion Week designers at Bryant Park, including Rad Hourani and Alexandre Herchcovitch. Rad Hourani's key makeup artist, Hung Vanngo, mentored Stiles with his technique of making a dramatic statement with minimal makeup.	4	CATAPHORA
validation-79	Chernow has worked extensively in the mediums of lithography, silkscreen, etching, and colored pencil. She currently resides in Westport, Connecticut, and serves her community through the arts. Born to Mollie Citrin and Edward Levy, Chernow was the oldest of three girls. Her mother was an amateur singer and her father was a performing violinist, so she and her sisters received music and art lessons as children;	3	
validation-80	Diaz-Twine and Jon decided to side with Lillian and vote out Darrah, propelling them into the final 3. In the final 3 endurance immunity challenge, Lillian won and chose to eliminate Jon, an error that led to Diaz-Twine's ultimate win. In the end, after having previously stating that no one could ever win against Lillian because she was too nice, Diaz-Twine annihilated Lillian in the final vote, winning 6-1, to become the Sole Survivor.	4	Nice, easy example
validation-81	However, after the Denmark Vesey conspiracy of 1822, South Carolina increasingly restricted the civil rights even of free blacks. His brother Edward Jones, became the first black college graduate, eventually immigrating to Freetown, Sierra Leone to become the first principal of Fourah Bay College. In 1832, with the encouragement of his pastor, Rev. John Bachman, Jones traveled to New York for ordination as a missionary by the New York Synod, having accepted a job as a missionary to Liberia.	3	
validation-82	Despite turning away from the Lecompton ``Breckinridge'' faction, Downey failed to gain the nomination of the Anti-Lecompton ``Unionist'' Democrats during the state Democratic convention. This effectively ended his political career. During the election, the Republican Party capitalized on the Democratic split and won the elections. Californians voted for Leland Stanford over Breckinridge Democrat John R. McConnell and Unionist Democrat John Conness. After his term as governor expired in 1862, Downey returned to Southern California.	4	
validation-83	Realizing this, the farm animals lure Nolan into the farm to show him a table holding his past accomplishments and he changes his mind. Meanwhile, due to Stripes' misbehavior during training, Franny reveals to Stripes that Tucker helped Nolan train the racehorse champions including Sir Trenton without getting any thanks, which encourages him to begin training.	5	
